nome_produto,categoria_produto,fabricante,preco,quantidade_estoque,data_compra,nome_cliente,faixa_etaria_cliente,genero_cliente,estado_residencia_cliente,meio_pagamento,em_promocao,desconto_maximo,frete_gratis,avaliacao_produto,quantidade_vendida
Produto_8675,Esportes,Microsoft,1258.61,4194,2024-02-12,Gabriel,18-25,Outro,RJ,Boleto,False,0.0,False,2,10
Produto_4097,Beleza,Acer,1009.16,1418,2024-04-18,Maria,36-45,Feminino,RS,Transferência Bancária,False,0.0,True,2,6
Produto_9128,Esportes,Apple,1167.66,1960,2024-02-27,Carla,18-25,Outro,SC,Boleto,False,0.0,False,5,1
Produto_6921,Eletrônicos,Microsoft,263.84,3345,2023-11-29,Paula,46-55,Masculino,PR,Pix,True,29.4,True,3,10
Produto_5244,Beleza,Philips,175.15,2482,2024-01-28,Paula,46-55,Masculino,PR,Pix,False,0.0,True,1,9
Produto_4766,Eletrônicos,Apple,853.1,2227,2023-12-31,Lucas,56-65,Masculino,CE,Boleto,True,28.0,True,4,2
Produto_1814,Beleza,Microsoft,82.09,3233,2024-01-24,Gabriel,18-25,Outro,RJ,Boleto,False,0.0,True,1,3
Produto_7955,Móveis,Philips,518.15,4231,2023-12-15,Thiago,46-55,Outro,SC,Transferência Bancária,False,0.0,False,2,2
Produto_2990,Vestuário,Brastemp,1013.99,932,2024-02-26,Fernanda,26-35,Masculino,SC,Boleto,False,0.0,False,1,7
Produto_7997,Vestuário,Acer,700.07,499,2024-02-08,Fernanda,26-35,Masculino,SC,Cartão de Crédito,False,0.0,True,2,9
Produto_9419,Esportes,Brastemp,1064.65,3291,2024-07-12,Paula,46-55,Masculino,PR,Boleto,True,20.0,False,4,4
Produto_2760,Brinquedos,Microsoft,638.57,1186,2024-03-15,Thiago,46-55,Outro,SC,Pix,True,7.5,False,2,9
Produto_2143,Esportes,Sony,492.48,3081,2024-05-22,Ana,56-65,Feminino,RS,Pix,False,0.0,True,3,7
Produto_6404,Jogos,Apple,1457.29,4236,2024-05-03,Fernanda,26-35,Masculino,SC,Pix,True,16.7,True,2,1
Produto_3161,Beleza,Acer,1229.24,2359,2024-09-17,Thiago,46-55,Outro,SC,Transferência Bancária,False,0.0,True,2,5
Produto_6903,Móveis,Acer,573.19,2270,2024-10-13,Thiago,46-55,Outro,SC,Pix,False,0.0,False,3,5
Produto_1929,Vestuário,Microsoft,749.35,3463,2024-05-25,Fernanda,26-35,Masculino,SC,Transferência Bancária,False,0.0,True,4,1
Produto_9446,Beleza,LG,268.1,53,2024-01-30,Pedro,56-65,Feminino,PR,Cartão de Crédito,False,0.0,False,2,7
Produto_5459,Vestuário,Panasonic,556.42,1310,2024-02-05,Thiago,46-55,Outro,SC,Cartão de Crédito,False,0.0,False,4,6
Produto_8108,Beleza,Philips,165.92,4955,2024-01-09,João,56-65,Feminino,MG,Boleto,True,15.7,True,2,3
Produto_5836,Eletrodomésticos,Panasonic,1385.24,2096,2024-06-19,Maria,36-45,Feminino,RS,Cartão de Crédito,False,0.0,True,3,1
Produto_7586,Móveis,Philips,307.26,4141,2024-11-03,Maria,36-45,Feminino,RS,Cartão de Crédito,False,0.0,False,1,3
Produto_3283,Eletrônicos,Nokia,1246.83,1948,2024-01-20,Gabriel,18-25,Outro,RJ,Boleto,True,29.1,False,1,4
Produto_9728,Eletrodomésticos,LG,534.59,1680,2024-07-15,Carla,18-25,Outro,SC,Cartão de Crédito,True,15.1,False,4,10
Produto_6764,Esportes,Brastemp,1187.77,1500,2024-10-15,Lucas,56-65,Masculino,CE,Transferência Bancária,False,0.0,False,5,8
Produto_5150,Esportes,Nokia,221.99,1338,2024-02-28,Gabriel,18-25,Outro,RJ,Pix,False,0.0,True,4,5
Produto_7555,Jogos,Philips,1443.62,432,2023-12-15,Carla,18-25,Outro,SC,Cartão de Crédito,False,0.0,True,5,2
Produto_1510,Eletrodomésticos,Microsoft,163.16,1834,2024-02-13,Paula,46-55,Masculino,PR,Boleto,True,17.3,True,5,3
Produto_5718,Esportes,Microsoft,506.85,2225,2024-07-13,João,56-65,Feminino,MG,Transferência Bancária,False,0.0,False,3,7
Produto_6898,Beleza,Acer,1384.84,3316,2023-11-10,Maria,36-45,Feminino,RS,Boleto,False,0.0,True,4,9
Produto_6254,Beleza,Microsoft,1474.06,3804,2024-01-12,Carla,18-25,Outro,SC,Boleto,False,0.0,False,3,4
Produto_1147,Beleza,LG,1286.88,1429,2024-06-17,Gabriel,18-25,Outro,RJ,Cartão de Crédito,False,0.0,False,5,7
Produto_1936,Eletrodomésticos,Microsoft,1472.46,4719,2024-05-12,Pedro,56-65,Feminino,PR,Boleto,False,0.0,True,5,4
Produto_8514,Eletrônicos,Acer,1144.82,4824,2024-10-12,Thiago,46-55,Outro,SC,Boleto,False,0.0,False,3,10
Produto_3056,Beleza,Samsung,1259.81,484,2024-05-03,Ana,56-65,Feminino,RS,Pix,False,0.0,False,1,4
Produto_9468,Esportes,Nokia,1283.18,494,2024-04-13,João,56-65,Feminino,MG,Cartão de Crédito,False,0.0,False,3,7
Produto_4585,Eletrodomésticos,Microsoft,1119.38,4055,2024-06-06,Pedro,56-65,Feminino,PR,Transferência Bancária,False,0.0,True,2,9
Produto_3307,Jogos,Samsung,73.81,3717,2024-07-05,Maria,36-45,Feminino,RS,Boleto,True,27.7,True,3,10
Produto_2111,Eletrônicos,Acer,561.33,3005,2024-03-31,Gabriel,18-25,Outro,RJ,Transferência Bancária,False,0.0,True,3,1
Produto_6694,Jogos,LG,1122.9,598,2024-01-16,Paula,46-55,Masculino,PR,Boleto,False,0.0,False,4,6
Produto_1295,Vestuário,Samsung,1254.03,3770,2024-05-26,Paula,46-55,Masculino,PR,Boleto,True,12.5,True,4,5
Produto_2627,Esportes,Panasonic,226.99,3662,2024-09-12,Lucas,56-65,Masculino,CE,Transferência Bancária,False,0.0,False,3,4
Produto_9399,Esportes,Acer,633.11,3461,2024-05-26,Paula,46-55,Masculino,PR,Boleto,False,0.0,False,3,9
Produto_9692,Móveis,Sony,1216.46,4642,2024-10-31,João,56-65,Feminino,MG,Transferência Bancária,False,0.0,False,1,3
Produto_2122,Jogos,Sony,653.49,1313,2024-09-23,Pedro,56-65,Feminino,PR,Pix,True,27.0,True,3,2
Produto_6918,Esportes,LG,629.48,4784,2024-11-02,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,False,5,6
Produto_4340,Eletrônicos,Apple,352.82,4026,2023-11-07,Thiago,46-55,Outro,SC,Cartão de Crédito,True,17.9,False,3,7
Produto_4897,Eletrônicos,Sony,637.49,4615,2024-01-01,João,56-65,Feminino,MG,Boleto,True,17.6,False,5,6
Produto_6836,Eletrodomésticos,Brastemp,295.31,4649,2024-10-19,Maria,36-45,Feminino,RS,Boleto,False,0.0,True,4,7
Produto_5292,Beleza,Brastemp,1014.44,582,2024-01-04,Ana,56-65,Feminino,RS,Transferência Bancária,False,0.0,False,3,9
Produto_5222,Eletrônicos,Samsung,540.64,1647,2024-09-06,Ana,56-65,Feminino,RS,Transferência Bancária,True,22.4,True,5,6
Produto_3520,Vestuário,Nokia,1338.4,1061,2024-01-13,João,56-65,Feminino,MG,Cartão de Crédito,False,0.0,False,1,4
Produto_9332,Vestuário,Panasonic,710.99,1631,2024-05-22,Maria,36-45,Feminino,RS,Boleto,False,0.0,True,5,3
Produto_7163,Eletrônicos,Philips,1043.58,3779,2024-04-21,Lucas,56-65,Masculino,CE,Pix,False,0.0,True,5,1
Produto_9425,Vestuário,Nokia,1242.1,3675,2024-01-20,João,56-65,Feminino,MG,Pix,False,0.0,True,2,9
Produto_5419,Móveis,Apple,655.76,4904,2024-08-30,Carla,18-25,Outro,SC,Cartão de Crédito,False,0.0,False,3,10
Produto_2860,Eletrodomésticos,Microsoft,61.3,2727,2024-08-15,Maria,36-45,Feminino,RS,Boleto,False,0.0,True,1,4
Produto_1790,Jogos,Brastemp,1015.45,2210,2024-06-16,Maria,36-45,Feminino,RS,Pix,False,0.0,False,2,10
Produto_9360,Eletrônicos,Philips,746.43,1230,2024-05-06,Maria,36-45,Feminino,RS,Cartão de Crédito,False,0.0,True,3,10
Produto_7520,Móveis,Microsoft,335.7,4626,2024-03-28,Maria,36-45,Feminino,RS,Pix,False,0.0,True,2,5
Produto_4665,Vestuário,Panasonic,330.92,3577,2024-04-16,Fernanda,26-35,Masculino,SC,Boleto,False,0.0,False,4,2
Produto_4273,Vestuário,Samsung,502.96,3958,2024-01-22,Lucas,56-65,Masculino,CE,Transferência Bancária,False,0.0,False,1,4
Produto_6025,Eletrônicos,Apple,1457.5,1636,2024-03-10,João,56-65,Feminino,MG,Pix,False,0.0,True,5,9
Produto_6355,Vestuário,Panasonic,577.08,2356,2024-07-05,Carla,18-25,Outro,SC,Pix,False,0.0,True,4,6
Produto_9429,Eletrônicos,Sony,491.02,895,2024-02-03,Maria,36-45,Feminino,RS,Pix,False,0.0,True,5,1
Produto_2424,Vestuário,Samsung,982.76,1268,2024-07-19,Lucas,56-65,Masculino,CE,Cartão de Crédito,False,0.0,False,2,5
Produto_3919,Beleza,Philips,1387.58,1746,2024-08-03,Ana,56-65,Feminino,RS,Pix,True,28.7,False,2,7
Produto_8843,Vestuário,Sony,69.53,1123,2024-11-02,Gabriel,18-25,Outro,RJ,Boleto,True,19.5,True,3,2
Produto_7056,Brinquedos,Sony,1452.87,3220,2024-05-17,Pedro,56-65,Feminino,PR,Boleto,False,0.0,True,2,2
Produto_5092,Móveis,Acer,923.53,500,2024-01-19,Lucas,56-65,Masculino,CE,Boleto,False,0.0,True,2,10
Produto_2637,Esportes,Sony,158.46,3799,2024-03-01,Lucas,56-65,Masculino,CE,Transferência Bancária,True,12.1,True,2,7
Produto_1409,Jogos,Apple,618.92,696,2024-01-03,Paula,46-55,Masculino,PR,Pix,False,0.0,True,1,4
Produto_6715,Esportes,Apple,1392.3,741,2024-08-26,Ana,56-65,Feminino,RS,Cartão de Crédito,True,16.9,False,4,7
Produto_2894,Jogos,Nokia,1491.71,2359,2024-01-01,Pedro,56-65,Feminino,PR,Pix,False,0.0,False,5,8
Produto_9085,Beleza,Microsoft,1148.6,3453,2024-03-10,Carla,18-25,Outro,SC,Transferência Bancária,False,0.0,False,2,5
Produto_6517,Eletrônicos,Samsung,839.52,2816,2024-03-29,Pedro,56-65,Feminino,PR,Cartão de Crédito,True,6.4,False,4,1
Produto_8655,Esportes,Brastemp,1169.2,3505,2024-05-15,Thiago,46-55,Outro,SC,Boleto,True,9.7,True,5,1
Produto_8426,Jogos,LG,1264.2,4248,2024-04-12,Gabriel,18-25,Outro,RJ,Boleto,False,0.0,True,1,3
Produto_5148,Beleza,Panasonic,1294.26,3272,2024-07-09,Fernanda,26-35,Masculino,SC,Cartão de Crédito,False,0.0,True,1,5
Produto_8747,Móveis,LG,287.34,83,2024-07-24,Maria,36-45,Feminino,RS,Pix,False,0.0,True,5,10
Produto_2511,Eletrodomésticos,Apple,287.2,4702,2024-10-09,João,56-65,Feminino,MG,Boleto,False,0.0,False,4,8
Produto_8317,Jogos,Apple,967.16,1874,2024-02-09,Carla,18-25,Outro,SC,Transferência Bancária,False,0.0,True,3,9
Produto_8511,Eletrodomésticos,Acer,945.22,3109,2024-02-28,João,56-65,Feminino,MG,Transferência Bancária,True,16.8,True,4,10
Produto_7902,Esportes,Microsoft,70.81,4424,2024-03-05,Lucas,56-65,Masculino,CE,Boleto,True,14.7,True,2,10
Produto_4721,Brinquedos,Brastemp,345.0,2467,2023-12-23,Fernanda,26-35,Masculino,SC,Cartão de Crédito,False,0.0,True,2,3
Produto_5945,Vestuário,Brastemp,1476.83,2212,2024-06-02,Gabriel,18-25,Outro,RJ,Transferência Bancária,False,0.0,False,2,9
Produto_3837,Eletrodomésticos,Apple,1303.03,834,2024-09-19,Maria,36-45,Feminino,RS,Boleto,True,8.2,True,1,9
Produto_5546,Esportes,Samsung,1234.88,4686,2024-09-19,Ana,56-65,Feminino,RS,Transferência Bancária,True,13.4,True,1,7
Produto_2394,Esportes,Sony,734.94,2862,2024-05-27,Thiago,46-55,Outro,SC,Pix,True,18.1,False,4,2
Produto_1134,Eletrodomésticos,LG,737.28,1555,2023-12-30,Gabriel,18-25,Outro,RJ,Pix,True,19.5,False,1,7
Produto_7751,Jogos,Acer,1176.13,1242,2024-08-29,Lucas,56-65,Masculino,CE,Pix,False,0.0,False,3,4
Produto_2845,Eletrodomésticos,Philips,677.82,3727,2024-04-27,Carla,18-25,Outro,SC,Transferência Bancária,False,0.0,True,3,7
Produto_9301,Vestuário,Sony,573.44,3039,2023-11-18,Lucas,56-65,Masculino,CE,Transferência Bancária,False,0.0,False,5,5
Produto_9932,Brinquedos,Panasonic,716.96,941,2024-10-09,Lucas,56-65,Masculino,CE,Cartão de Crédito,False,0.0,True,3,10
Produto_1606,Jogos,Sony,227.3,2321,2023-11-29,João,56-65,Feminino,MG,Transferência Bancária,False,0.0,False,2,9
Produto_1484,Eletrônicos,Philips,443.46,3018,2024-03-31,Maria,36-45,Feminino,RS,Boleto,False,0.0,False,3,2
Produto_3974,Esportes,Acer,1370.52,134,2024-05-22,Lucas,56-65,Masculino,CE,Cartão de Crédito,False,0.0,True,2,8
Produto_9633,Eletrônicos,Philips,1386.46,1780,2024-01-09,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,False,4,8
Produto_4297,Brinquedos,Microsoft,1447.64,789,2024-09-22,Thiago,46-55,Outro,SC,Boleto,False,0.0,False,1,1
Produto_6448,Vestuário,Philips,810.92,1820,2024-01-31,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,False,4,6
Produto_6733,Eletrodomésticos,Nokia,1174.99,4346,2023-12-26,Pedro,56-65,Feminino,PR,Transferência Bancária,True,19.4,False,2,6
Produto_2097,Eletrônicos,Philips,112.09,2030,2023-12-15,Gabriel,18-25,Outro,RJ,Cartão de Crédito,False,0.0,False,2,7
Produto_4025,Beleza,Apple,1484.51,3393,2024-09-01,Maria,36-45,Feminino,RS,Transferência Bancária,False,0.0,False,4,9
Produto_7867,Vestuário,Samsung,1324.2,3662,2024-05-05,Paula,46-55,Masculino,PR,Boleto,False,0.0,False,1,4
Produto_4464,Beleza,Samsung,1205.05,3662,2024-03-23,Paula,46-55,Masculino,PR,Boleto,True,8.1,False,3,2
Produto_7318,Brinquedos,LG,736.43,3140,2024-03-24,João,56-65,Feminino,MG,Boleto,True,14.1,True,3,9
Produto_1542,Eletrodomésticos,Philips,672.65,812,2024-09-16,Carla,18-25,Outro,SC,Transferência Bancária,False,0.0,True,5,3
Produto_8073,Eletrodomésticos,Panasonic,287.35,4738,2023-11-05,Gabriel,18-25,Outro,RJ,Transferência Bancária,False,0.0,True,1,5
Produto_3814,Jogos,Philips,1466.48,133,2024-03-23,Maria,36-45,Feminino,RS,Pix,False,0.0,True,5,9
Produto_1893,Vestuário,Apple,1000.9,3506,2024-10-13,Ana,56-65,Feminino,RS,Pix,False,0.0,False,4,4
Produto_7768,Brinquedos,Acer,1216.09,1744,2024-06-12,Pedro,56-65,Feminino,PR,Cartão de Crédito,False,0.0,False,5,9
Produto_2119,Beleza,Brastemp,866.01,3179,2024-08-19,Thiago,46-55,Outro,SC,Transferência Bancária,True,13.7,True,3,4
Produto_2300,Brinquedos,Philips,1434.34,42,2024-08-30,Pedro,56-65,Feminino,PR,Pix,False,0.0,False,4,1
Produto_1170,Eletrônicos,Acer,1344.05,395,2024-10-14,Gabriel,18-25,Outro,RJ,Boleto,False,0.0,True,4,5
Produto_2841,Brinquedos,Brastemp,411.0,1502,2024-07-16,Pedro,56-65,Feminino,PR,Pix,True,19.5,False,5,4
Produto_5397,Eletrodomésticos,Microsoft,1375.32,1281,2023-12-01,Paula,46-55,Masculino,PR,Pix,False,0.0,True,2,8
Produto_1996,Vestuário,Philips,1067.61,4712,2024-01-02,Ana,56-65,Feminino,RS,Transferência Bancária,False,0.0,False,2,3
Produto_8372,Beleza,Samsung,1287.18,2025,2024-09-29,Gabriel,18-25,Outro,RJ,Pix,True,14.9,True,5,7
Produto_1092,Beleza,Brastemp,407.27,3376,2024-06-17,Ana,56-65,Feminino,RS,Boleto,False,0.0,True,3,10
Produto_1416,Jogos,Brastemp,1038.24,2237,2024-03-23,Fernanda,26-35,Masculino,SC,Cartão de Crédito,False,0.0,True,4,4
Produto_2411,Móveis,Samsung,374.68,2537,2024-03-12,Maria,36-45,Feminino,RS,Cartão de Crédito,True,14.5,True,1,6
Produto_2037,Beleza,Panasonic,719.53,461,2024-10-09,Fernanda,26-35,Masculino,SC,Transferência Bancária,True,5.2,False,3,8
Produto_1065,Brinquedos,Sony,1261.11,2646,2024-05-17,João,56-65,Feminino,MG,Transferência Bancária,True,18.8,False,1,7
Produto_3761,Beleza,Panasonic,89.94,3751,2024-02-04,João,56-65,Feminino,MG,Transferência Bancária,True,25.8,True,4,9
Produto_5577,Móveis,Panasonic,296.65,1166,2024-09-20,Carla,18-25,Outro,SC,Boleto,True,7.8,False,4,7
Produto_1480,Jogos,Panasonic,520.58,3712,2023-11-28,Paula,46-55,Masculino,PR,Pix,False,0.0,False,5,8
Produto_4733,Brinquedos,Sony,1147.1,2443,2024-09-22,João,56-65,Feminino,MG,Pix,True,27.3,True,2,7
Produto_5182,Brinquedos,Sony,1053.59,4891,2023-11-18,Pedro,56-65,Feminino,PR,Boleto,False,0.0,True,1,8
Produto_8149,Brinquedos,Microsoft,570.0,2748,2024-01-13,Pedro,56-65,Feminino,PR,Transferência Bancária,False,0.0,True,1,7
Produto_3757,Jogos,Philips,976.23,3416,2024-11-02,Fernanda,26-35,Masculino,SC,Cartão de Crédito,False,0.0,True,4,6
Produto_2195,Eletrodomésticos,Nokia,488.0,368,2024-09-22,Gabriel,18-25,Outro,RJ,Pix,False,0.0,False,2,10
Produto_1125,Esportes,Acer,1207.18,3044,2023-12-18,Ana,56-65,Feminino,RS,Pix,False,0.0,True,5,1
Produto_5126,Esportes,Samsung,157.3,578,2024-05-23,Carla,18-25,Outro,SC,Pix,False,0.0,True,5,2
Produto_5127,Brinquedos,Panasonic,748.15,1478,2024-05-15,Paula,46-55,Masculino,PR,Boleto,False,0.0,True,5,5
Produto_8702,Esportes,LG,1377.28,3833,2024-10-23,Carla,18-25,Outro,SC,Cartão de Crédito,False,0.0,True,3,2
Produto_5291,Eletrônicos,LG,988.61,4901,2023-12-23,Maria,36-45,Feminino,RS,Boleto,True,14.4,False,3,5
Produto_6058,Eletrodomésticos,Sony,738.03,2793,2024-03-21,Fernanda,26-35,Masculino,SC,Pix,False,0.0,False,2,10
Produto_2386,Eletrônicos,LG,1422.35,1486,2024-04-28,Pedro,56-65,Feminino,PR,Pix,False,0.0,False,1,8
Produto_7003,Jogos,Sony,641.99,2330,2024-04-26,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,True,2,7
Produto_8761,Eletrodomésticos,Panasonic,1168.35,4733,2024-08-05,Pedro,56-65,Feminino,PR,Pix,False,0.0,False,4,8
Produto_8323,Beleza,Panasonic,282.7,4776,2024-06-15,Thiago,46-55,Outro,SC,Transferência Bancária,True,14.1,True,4,9
Produto_6065,Móveis,LG,147.13,2670,2024-01-19,Paula,46-55,Masculino,PR,Boleto,False,0.0,True,3,4
Produto_6219,Brinquedos,Nokia,87.11,2541,2023-12-22,Carla,18-25,Outro,SC,Cartão de Crédito,False,0.0,True,4,1
Produto_6502,Jogos,LG,171.92,2415,2024-02-05,João,56-65,Feminino,MG,Boleto,False,0.0,True,3,6
Produto_3995,Vestuário,Brastemp,82.05,1096,2024-10-11,Fernanda,26-35,Masculino,SC,Cartão de Crédito,True,10.5,False,5,6
Produto_9417,Móveis,Samsung,80.42,1922,2024-02-18,Gabriel,18-25,Outro,RJ,Transferência Bancária,False,0.0,False,5,4
Produto_1977,Eletrodomésticos,Sony,1120.43,546,2024-10-01,João,56-65,Feminino,MG,Boleto,True,24.9,False,1,5
Produto_6247,Esportes,Apple,502.88,2914,2024-03-09,Pedro,56-65,Feminino,PR,Cartão de Crédito,False,0.0,False,1,3
Produto_4884,Beleza,LG,1039.76,3743,2024-02-24,Fernanda,26-35,Masculino,SC,Cartão de Crédito,True,26.2,True,3,2
Produto_6430,Beleza,Apple,930.14,950,2024-04-15,Fernanda,26-35,Masculino,SC,Transferência Bancária,False,0.0,False,4,4
Produto_2919,Esportes,Acer,1382.97,4439,2024-08-10,Fernanda,26-35,Masculino,SC,Transferência Bancária,False,0.0,False,5,3
Produto_6945,Beleza,Philips,372.46,2515,2024-01-01,Ana,56-65,Feminino,RS,Cartão de Crédito,True,24.5,True,3,5
Produto_1810,Jogos,Apple,270.89,1537,2024-05-11,Fernanda,26-35,Masculino,SC,Transferência Bancária,True,27.0,False,3,1
Produto_1578,Brinquedos,Philips,587.57,1853,2023-12-25,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,True,2,6
Produto_4986,Vestuário,Philips,1279.95,3448,2023-12-29,Gabriel,18-25,Outro,RJ,Boleto,False,0.0,False,2,10
Produto_3702,Esportes,LG,838.26,717,2024-06-05,Fernanda,26-35,Masculino,SC,Pix,False,0.0,False,3,8
Produto_2526,Esportes,Nokia,1238.29,2044,2023-12-13,Thiago,46-55,Outro,SC,Pix,False,0.0,True,4,9
Produto_2806,Eletrodomésticos,Panasonic,55.03,1709,2024-05-28,Ana,56-65,Feminino,RS,Pix,False,0.0,True,3,2
Produto_3839,Esportes,Sony,446.76,2117,2023-11-18,Paula,46-55,Masculino,PR,Cartão de Crédito,False,0.0,False,3,2
Produto_2817,Móveis,Apple,566.35,2718,2024-09-01,João,56-65,Feminino,MG,Pix,False,0.0,True,2,6
Produto_9599,Jogos,Nokia,824.22,4592,2023-12-22,Thiago,46-55,Outro,SC,Pix,False,0.0,False,3,5
Produto_7634,Eletrônicos,Acer,1397.21,1735,2024-08-10,Maria,36-45,Feminino,RS,Cartão de Crédito,False,0.0,False,1,8
Produto_5688,Eletrônicos,Microsoft,1222.4,4750,2024-05-04,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,False,2,2
Produto_1587,Esportes,Microsoft,1003.33,3755,2023-12-17,Pedro,56-65,Feminino,PR,Cartão de Crédito,True,19.6,False,4,2
Produto_7384,Vestuário,Brastemp,886.56,4177,2024-05-26,João,56-65,Feminino,MG,Pix,False,0.0,True,3,8
Produto_4716,Vestuário,Samsung,968.08,4730,2024-05-02,Gabriel,18-25,Outro,RJ,Cartão de Crédito,True,18.8,True,1,6
Produto_1228,Esportes,Microsoft,199.08,3429,2024-01-22,Fernanda,26-35,Masculino,SC,Transferência Bancária,False,0.0,False,2,4
Produto_6258,Brinquedos,Brastemp,1425.35,1539,2024-05-23,Pedro,56-65,Feminino,PR,Cartão de Crédito,False,0.0,True,5,9
Produto_9227,Beleza,Brastemp,440.4,2874,2023-12-09,Pedro,56-65,Feminino,PR,Transferência Bancária,False,0.0,True,2,9
Produto_6485,Beleza,Sony,1357.95,1744,2023-12-22,Thiago,46-55,Outro,SC,Transferência Bancária,True,7.8,False,5,4
Produto_3788,Eletrodomésticos,Samsung,484.28,2160,2023-11-09,Pedro,56-65,Feminino,PR,Pix,False,0.0,True,5,3
Produto_9591,Esportes,Nokia,1058.34,238,2024-08-20,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,True,4,1
Produto_9453,Beleza,Panasonic,1174.31,2196,2024-08-08,Gabriel,18-25,Outro,RJ,Cartão de Crédito,False,0.0,True,2,1
Produto_6633,Móveis,Panasonic,1167.21,1725,2023-12-07,Fernanda,26-35,Masculino,SC,Transferência Bancária,False,0.0,True,2,10
Produto_5749,Móveis,LG,1292.53,1210,2024-10-08,Carla,18-25,Outro,SC,Cartão de Crédito,True,13.4,True,1,9
Produto_7511,Eletrônicos,Apple,515.36,2598,2024-11-01,Pedro,56-65,Feminino,PR,Pix,False,0.0,True,2,2
Produto_1027,Brinquedos,Apple,1205.19,1587,2024-01-06,João,56-65,Feminino,MG,Cartão de Crédito,False,0.0,False,3,5
Produto_2975,Vestuário,Samsung,1160.85,1849,2023-11-16,Pedro,56-65,Feminino,PR,Transferência Bancária,False,0.0,False,5,5
Produto_6976,Vestuário,Apple,549.66,2131,2024-05-11,Carla,18-25,Outro,SC,Pix,True,12.6,True,4,4
Produto_7978,Eletrônicos,Philips,758.53,2877,2024-03-10,Carla,18-25,Outro,SC,Pix,False,0.0,False,5,2
Produto_3958,Beleza,LG,1388.33,3577,2024-05-23,Fernanda,26-35,Masculino,SC,Boleto,True,7.6,True,3,8
Produto_2238,Eletrodomésticos,Nokia,793.84,345,2024-08-01,Lucas,56-65,Masculino,CE,Transferência Bancária,True,21.0,False,1,9
Produto_8423,Esportes,Acer,194.51,1553,2024-04-07,Lucas,56-65,Masculino,CE,Boleto,False,0.0,False,4,7
Produto_6307,Móveis,Nokia,833.43,3886,2024-09-19,João,56-65,Feminino,MG,Pix,False,0.0,False,2,1
Produto_1092,Eletrodomésticos,Nokia,954.26,1094,2024-10-11,Ana,56-65,Feminino,RS,Pix,True,13.3,False,1,2
Produto_9775,Eletrônicos,Nokia,496.37,1685,2024-01-29,Lucas,56-65,Masculino,CE,Cartão de Crédito,True,28.5,False,5,8
